연번,업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
148,평가옥,박민,"양재동 277 - 2 1층,2층 ",02-3462-1577,한식,평양냉면
149,초원정육식당,강영희,"양재동 288 - 1 1,2층",02-573-5598,한식,등심
150,해늘찹쌀순대,장훈,"양재동 289 - 8 ,2층 ",02-573-1733,한식,찹쌀순대
151,한촌설렁탕,김준호,양재동 289 - 9  ,02-574-6767,한식,설렁탕
152,사랑채,양경비,양재동 320 - 4,02-572-0352,한식,한정식
153,약초마을,함순이,양재동 353 - 5 1층 ,02-577-5551,한식,삼계탕
154,소호정,임동열,"양재동 392 - 11 (1, 2층)",02-579-7282,한식,국수
155,황태마을,주윤자,우면동 13-9,02-573-8926,한식,황태구이
156,정여사 손칼국수,정정례,우면동 64 - 2  201호,02-544-2000,분식,칼국수
157,여의도생고기,장시훈,내곡동 1 - 273 (지상1층),02-6339-7299,한식,생고기
158,피노,오영옥,내곡동 1 - 2299 1층,02-445-0417,한식,연잎밥
159,맷돌로만청계산점,이재훈,신원동 192 - 12  ,02-574-9691,한식,순두부찌개
160,곤드레집,정임서,"신원동 195 - 16 1층, 2층",02-574-4542,한식,곤드레나물밥
161,영주축협 한우프라자 청계산역점,서병국,신원동 270-10,02-579-9292,한식,한우생등심
162,서울만남의광장휴게소 한식당,최윤택,원지동 10 - 16 서울만남의광장휴게소 한식당 ,02-578-3372,한식,"국밥, 찌개"
163,목우촌마을 청계산점,박기현,원지동 375 1층,02-573-0143,한식,삼겹살
164,국시 명가,이은숙,원지동 377 - 4 (1층),02-571-1474,한식,국수
165,조선면옥,김기흥,원지동 379 - 4 2층,02-2057-5526,한식,냉면
166,유라,김정희,원지동 412 - 2 1층,02-574-2101,한식,굴비정식
167,들밥나들이,김도희,원지동 414 - 10 (1층),02-574-9949,한식,한정식
168,동지섣달 꽃본듯이,유미숙,원지동 419 지상 2층,02-571-9334,한식,돌솥밥
169,소담채,서동준,"원지동 419 - 1 지하1층, 1층, 2층",02-3462-8592,한식,쌈밥
170,삼소락,신명아,방배동 444 - 2 1층,02-585-9288,한식,제주삼겹살
171,바르미샤브샤브앤칼국수,이수영,방배동 444 - 3 2층 202-2호,02-597-1155,뷔페식,샤브샤브
172,도쿄하나 사당점,이범택,"방배동 444 - 3, 3층",02-585-2020,일식,생선회
173,연안식당 사당점,이범택,방배동 445 - 1 2층,02-588-6092,한식,꼬막비빔밥
174,둥구나무 사당점,박정희,방배동 445 - 4 8층 ,02-525-0980,한식,한정식
175,사조참치(사당역점),김정숙,방배동 446 - 2 지하1층 ,02-523-6784,일식,참치회
176,돌배기집 사당역지점,백종원,방배동 446 - 2 1층,02-3482-3788,한식,차돌박이
177,장원족발,이기한,"방배동 446 - 5, 1,2층",02-586-9696,한식,"족발,보쌈"
178,참조은정육식당,김덕자,방배동 448 - 21  ,02-521-2727,한식,생고기
179,성민양꼬치,최용진,방배동 449 - 4 1층 ,02-583-8856,기타,양고기
180,시골보쌈&감자옹심이,김순금,방배동 449 - 5 (1층) ,02-3473-7358,한식,보쌈
181,통영해물보쌈,김동규,"방배동 449 - 8 지하1층, 1층",02-585-4378,한식,해물보쌈
182,포항죽도 어시장,황영희,"방배동 450 - 5 1층,2층 ",02-586-5246,한식,"생선회, 메운탕"
183,바다소식,임종한,방배동 450 - 8 지층 ,02-522-0730,한식,족발
184,왕배화로,김왕배,방배동 450 - 10,02-588-8736,한식,등심
185,삼육가 사당역1호점,서재학,방배동 450 - 16,02-588-1043,한식,"묵은지갈비찜,보쌈"
186,여진족,박선희,"방배동 451 - 5, 1층, 지하1층",02-3473-3479,한식,족발
187,원당감자탕,이학승,"방배동 451 - 8, 2층,3층",02-584-8480,한식,감자탕
188,신의주찹쌀순대&숯불갈비,임규현,"방배동 453 - 23, 1층",02-525-0041,한식,"순대국,돼지갈비"
189,한촌설렁탕 사당역점,최윤석,방배동 453 - 24 1층,02-522-1011,한식,설렁탕
190,물조은선주회집,김인규,"방배동 453 - 29 (1,2층) ",02-521-7620,회집,생선회
191,방배 육감,이재혁,"방배동 475 - 29 지상1층,2층 ",02-584-8008,한식,생고기
192,하우스(HOUSE),이호정,방배동 477 - 10 (1층),02-525-9296,경양식,스테이크
193,우면산,차재성,방배동 478 - 5 1층 ,02-521-4064,한식,삼겹살
194,루안,곽태훈,방배동 751 - 1 지하1층 ,02-536-0009,중국식,중식
195,남강메기 반포방배점,정현자,방배동 751 - 3 1층,02-532-7764,한식,메기 매운탕
196,댓짱돈까스,윤성순,"방배동 755 - 14 1층, 101호,102호,106호",02-534-7009,경양식,돈까스
197,횡성용이네 정육,전장용,방배동 760 - 2 후생시설 2동 1층 318호,02-591-5575,한식,"갈비살,살치살"
198,김대감봉평메밀촌,김유정,방배동 761 - 2 2층,02-3477-0270,한식,막국수
199,임금님밥상,임정윤,"방배동 762 - 16, A동 1층",02-535-5338,한식,매운탕
200,방배동숯불갈비,송원우,방배동 763 - 32 101호,02-3482-1527,한식,돼지갈비
201,조가네 갑오징어 방배카페거리점,신동훈,방배동 768 - 13  ,02-536-4842,한식,갑오징어볶음
202,육갑식당,민보람,"방배동 777 - 5, 지하1층 지상1층",02-596-9292,한식,등심
203,미방,이현주,방배동 777 - 20,02-533-3660,한식,숯불구이
204,장수원,나오미,"방배동 778 - 27, 지하1층,1층,2층",02-532-2225,한식,불고기
205,천리향,정화엽,"방배동 795 - 24  지층, 1층",02-534-8385,중식,삼선짬뽕
206,델리세,장현숙,방배동 807-9,02-534-3142,양식,파스타
207,유다까 회전초밥전문점,이진규,방배동 813 - 6 1층 ,02-537-7714,일식,초밥
208,KOREAN TABLE(코리안 테이블),박현진,방배동 813 - 8 1층 ,02-536-8666,한식,콩나물국밥
209,참숯애 서래갈비,김성하,방배동 818 - 13  ,02-537-0086,한식,갈비
210,소율칼국수,김말녀,방배동 836 - 1 1층 상가8호,02-595-6699,한식,바지락칼국수
211,은선 설렁탕,서금화,"방배동 836 - 12, 1층",02-535-8583,한식,설렁탕
212,서래면옥,박성완,방배동 837 - 14  ,02-599-0366,분식,바지락칼국수
213,묘오또,김민수,방배동 850 - 1 1층 ,02-536-5980,한식,"돈가스, 우동"
214,제주어항 1950,유영희,방배동 851 - 2 지상 1층 ,02-3482-8400,한식,순대국
215,송이하랑,송성재,"방배동 866 - 6 지상1층,2층 ",02-599-4499,한식,삼겹살
216,방배명가,이연숙,방배동 873 - 20 1층,02-533-2488,한식,해장국
217,㈜ 이지에프엔씨,이영선,방배동 874-8,02-595-1511,한식,설렁탕
218,만다린,이봉환,방배동 875 - 15 1층 ,02-596-6767,분식,짬뽕
219,양모리 양대창,이방분,방배동 851 - 6 107호,02-532-8125,한식,"양깃머리,양,대창"
220,서리풀 명가,박정숙,방배동 876 - 9,02-535-3692,한식,"곰탕,설렁탕"
221,마초셰프,정영찬,방배동 876 - 19 1층,02-6465-4242,양식,파스타
222,명동보리밥 방배점,박경순,방배동 898 - 3 지상2층 201호 ,02-3471-3392,한식,보리밥정식
223,우리밀 칼국수,조화자,방배동 908 - 13 지하 1층,02-588-5895,한식,칼국수
224,CASA BRASIL GRILL(까사 브라질 그릴),Pasqueti Valdecir,방배동 909 - 4 5층,02-598-5066,경양식,슈하스코 코스(브라질정통바베큐)
225,엉터리생고기 무한삼겹 방배역점,김도경,방배동 909 - 11 2층,02-588-7113,한식,삼겹살
226,지현,오세인,방배동 910 - 4 (지상1층) ,02-3473-6292,한식,샤브샤브
227,북경,소인학,방배동 911 - 22 1층 2호,02-521-9270,중식,"짬뽕,탕수육"
228,더구어,고석갑,방배동 924 - 5 (지상1층) ,02-3474-9293,한식,삼겹살
229,방배순대국,한승희,방배동 924 - 9 1층,02-598-9587,한식,순대국
230,순남시래기,최은정,방배동 925 - 6 1층,02-582-2326,한식,시래기국
231,정담남원추어탕,류명미,방배동 926 - 27 1층,02-583-7588,한식,추어탕
232,미나토,이길열,방배동 935 - 2 1층,02-525-5841,일식,숙성 생선회
233,풍천장어마을,서영곤,방배동 951 - 18  ,02-521-1256,한식,장어탕
234,효소원 순두부와 청국장 그리고 전,오경옥,방배동 983 - 8 1층 ,02-3471-3355,한식,청국장
235,ELBA KITCHEN(엘바 키친),신원각,방배동 985 - 2 1층 ,02-585-9559,경양식,"스테이크, 파스타"
236,민어사랑,박호자,방배동 1001 - 9 1층 ,02-588-2714,한식,민어탕
237,송강,차경숙,방배동 1002 - 1 1층 ,02-521-2502,한식,"복어, 장어요리"
238,만다린,정자용,방배동 1020 - 2 대영빌딩1층 101호 ,02-581-3366,중국식,중국요리
239,정으로그리는밥상,박은석,방배동 1021 - 14 파크애비뉴빌딩 ,02-597-0027,한식,한정식
240,방배골식당,송금자,방배동 1022 - 2 (지상2층) ,02-588-5197,한식,한식
241,임광루,권순분,"방배동 1024 - 4 1층 9호, 1층 10호 ",02-583-2460,중국식,짜장면
242,댓짱 돈까스,장연조,방배동 1031 - 1  ,02-584-7348,경양식,돈까스
243,방배본가면옥,송양숙,방배동 1031 - 2 방배홈스텔 1층 102호,02-587-5799,한식,냉면
244,더프리마베라 웨딩,정재일,"방배동 1823, 지하1층",02-3476-2006,뷔페,뷔페
245,방배골,석강하,방배동 2096  ,02-595-2116,한식,등심
246,오동도 산아나고 숯불구이,박인수,방배동 3001-1,02-532-9679,한식,아나고숯불구이
247,김영희 강남동태찜 이수점,박상형,"방배동 3001 - 2 B117~119,B122~126호",02-533-6890,한식,"동태찜,해물찜"
248,토다이 반포점,김한스형민,반포동 19-1,02-588-3624,뷔페,뷔페
249,수라빔,오행일,반포동 19 - 3 1층중층 M8호 센트럴시티,02-6282-3355,한식,"비빔밥,해물순두부"
250,경복궁 서초점,김미애,"반포동 44 - 4 ~6호 3, 4층",02-377-7758,한식,한정식
251,하남돼지집 반포점,김범일,반포동 55 - 7 1층,02-537-6282,한식,돼지고기
252,무교동유정낙지반포점,이현숙,반포동 57 - 3  ,02-599-0088,한식,낙지볶음
253,놀부보쌈과 부대찌개,최윤식,반포동 58 - 7 2층(201~203) ,02-535-4747,한식,보쌈 및 족발류
254,다봉,신석우,반포동 63 - 1,02-2186-6888,일식,회초밥
255,h' Garden(에이치가든),박홍진,반포동 63 - 1 팔래스호텔 1층,02-2186-6885,뷔페식,뷔페
256,남도미락,김시윤,"반포동 65 - 1 외 2필지 101~106호,109~110호",02-595-2589,한식,연포탕
257,레드브릭(Redbrick),고우현,반포동 72 - 8 1층 ,02-591-7878,경양식,피자
258,서래말 면옥집,최선희,반포동 72 - 10 1층~2층,02-596-3450,한식,함흥냉면
259,하노이의아침,최윤영,반포동 90 - 1 가나빌딩 5층 ,02-599-5320,경양식,베트남쌀국수
260,하루,김덕규,반포동 90 - 4 (2층) ,02-594-5789,한식,고기
261,화담,박소영,반포동 92 - 6 2층,02-533-4443,일식,차돌박이숙주볶음
262,서래본가,서심순,"반포동 93 - 1 1층,2층,3층 ",02-3477-9192,한식,갈비탕
263,육갑식당,장호철,반포동 93-2,02-533-9282,한식,와규 생등심
264,전주행,이인건,반포동 95 - 5,02-599-8119,한식,전주비빔밥
265,포폴라리타,임영자,반포동 96 - 1  ,02-593-2340,경양식,스파게티
266,서래횟집,공맹자,반포동 104 - 2 1층,02-532-1573,일식,회초밥
267,황제,석가연,반포동 105 - 1 (지상2층) ,02-536-8820,중국식,중국요리
268,㈜톰볼라,김주환,반포동 106 - 8 1층 101호,02-593-4660,양식,스테이크
269,주미요,HAN LI,"반포동 107 - 9 1층, 위너스빌",02-599-1988,중식,북경오리
270,한국회관,김경희,"반포동 107 - 45 가동 1층,2층 ",02-595-3355,한식,"한우,탕"
271,올반 센트럴시티점,최성재,반포동 118 - 3번지 외 7필지 센트럴시티 파미에스테이션 1층 FP103호,02-591-2213,한식,뷔페
272,주식회사 에프아이씨,이경진,반포동 649 새빛둥둥섬 제1섬 3층,02-537-2440,경양식,"피자,파스타"
273,어랑 생선밥상,한석동,반포동 736,02-516-3690,한식,생선구이
274,평가옥(반포점),이창건,반포동 746 - 5 서일빌딩 1층 (103-107호) ,02-3444-8030,한식,냉면
275,이춘복참치 신논현,이춘복,"반포동 748-12 지하1층, 지상1층",02-542-4558,일식,회코스
276,식도원,신정숙,"반포동 817 상가E블럭 32-1,33호 ",02-599-3825,일식,정통일식
277,맷돌로만,박창훈,"반포동 1053 - 5,6호, 1층",02-535-1233,한식,순두부
278,더가든 키친,안필호,잠원동 6 - 1호 더리버사이드호텔 1층(지하 1층) 1동 ,02-6710-1133,뷔페식,뷔페
279,영동설농탕,김용호,잠원동 10 - 53  ,02-543-4716,한식,설렁탕
280,노독일처,남숙자,"잠원동 15 - 10 라성빌딩 1층, 2층 ",02-517-4552,중국식,자장면
281,내고향본가,박말녀,"잠원동 17 - 1 2,3,4,5 ",02-540-6331,한식,남도요리
282,강남 따로국밥,백윤성,잠원동 19 - 10 외2필지 (1동 2층) ,02-543-2527,한식,국밥
283,이모 전주콩나물 국밥,고영자,잠원동 21-1 2층,02-547-7908,한식,콩나물국밥
284,삼호복집,서미경,잠원동 22 - 17  ,02-542-7296,한식,복매운탕
285,마구로센,임순택,잠원동 22 - 5 지상1층 ,02-517-5110,일식,회정식
286,진대감,김희석,잠원동 23 - 8 수인빌딩 지상1층 ,02-543-8858,한식,차돌삼합
287,동천홍,전단비,잠원동 25 - 25 (1층) ,02-549-5922,중식,짜장
288,공리,김태림,"잠원동 26 - 9 1층, 2층",02-544-3239,중식,탕수육
289,(주)프로간장게장,김종윤,"잠원동 27 - 1 (지상1층,2층)",02-543-4126,한식,간장게장
290,의정부 평양면옥,박찬석,"잠원동 29 - 23 1,2,3,4층 ",02-547-6947,한식,냉면
291,진동둔횟집,박외숙,"잠원동 36 - 18 지하1층,1층,2층 ",02-543-3849,일식,대구탕
292,봉평고향메밀촌,박정규,잠원동 39 - 1  ,02-511-7888,한식,막국수
293,세븐스프링스(잠원점),서정배,잠원동 65 - 32 1층 101호,02-532-7079,뷔페식,뷔페
294,JS가든(잠원점),정영태,잠원동 66 - 2,02-595-1221,중식,해삼전복볶음
295,반포면옥,소순경,"잠원동 70 , 5호 ",02-591-4281,한식,냉면
